IG,price,crime,rooms,sales,driveshop,type
S02000778,113,613,3,75,3.7,flat
S02000779,88.5,481,3,64,3.4,flat
S02000780,66,918,3,97,2.8,flat
S02000781,84,1172,3,77,2.65,flat
S02000782,75,919,4,27,4.2,terrace
S02000783,82.75,592,4,52,4,flat
S02000784,105,641,4,111,2.45,flat
S02000785,99.75,558,3,76,2.5,flat
S02000786,120,277,4,88,2.55,flat
S02000787,207.163,254,5,82,2.8,flat
S02000923,160.75,237,4,70,2.75,semi
S02000925,132,556,4,58,4.5,flat
S02000926,94.75,333,3,32,5.6,terrace
S02000927,152.5,128,4,69,5.7,semi
S02000983,135.25,181,4,44,4.95,flat
S02000984,267.5,327,5,88,3.8,detached
S02000985,93.75,519,4,38,3.9,terrace
S02000986,95.5,454,4,38,3.1,flat
S02000987,95,390,4,39,3.9,terrace
S02000988,91,467,4,50,2.5,terrace
S02000989,138.5,188,4,71,2.4,semi
S02000990,135,139,4,71,2.8,detached
S02000991,93,474,3,144,1.8,flat
S02000992,90,520,4,58,1.6,flat
S02000993,165,334,5,73,1.95,flat
S02000994,112,849,3,77,1.05,flat
S02000995,96,423,3,83,2,flat
S02000996,122.5,375,4,56,2.6,flat
S02000997,95,570,4,34,1.5,flat
S02000998,97,647,3,46,0.55,flat
S02000999,148.5,427,4,108,1.7,semi
S02001000,89.998,1318,3,266,0.9,flat
S02001001,90,1170,3,116,1.4,flat
S02001002,216,137,5,63,1.2,semi
S02001003,81.6,1006,3,38,1.6,flat
S02001004,101.5,504,3,122,0.5,flat
S02001005,83,589,3,37,0.85,flat
S02001006,92.5,317,4,48,1.8,terrace
S02001007,80.25,635,3,82,0.9,flat
S02001008,179,299,5,74,0.7,detached
S02001009,165.25,85,5,51,3.6,detached
S02001010,78.75,1374,3,74,1.2,flat
S02001011,97,472,4,82,1.25,flat
S02001012,170,144,5,42,2.95,detached
S02001013,119.5,344,4,96,1,semi
S02001014,108,565,3,135,0.75,flat
S02001015,242.253,897,5,52,3.25,detached
S02001016,152,832,3,230,0.45,flat
S02001017,160,138,4,63,2.35,detached
S02001018,125,261,4,48,1.7,terrace
S02001019,124.995,127,4,59,1.2,terrace
S02001020,180,122,5,39,4,semi
S02001146,202,722,4,78,1.8,flat
S02001148,153,555,4,48,1.5,flat
S02001149,110,351,4,47,1.25,semi
S02001150,155,484,4,57,1.1,flat
S02001152,108,505,4,41,0.85,flat
S02001153,202.5,402,5,54,0.7,flat
S02001154,184,474,5,51,0.45,semi
S02001156,165,313,5,108,2.2,detached
S02001157,118,747,4,71,1.7,flat
S02001158,100,361,4,59,0.9,flat
S02001159,152,219,4,119,1,flat
S02001160,86,837,3,41,1,flat
S02001161,86,1126,3,60,0.5,flat
S02001162,130,572,3,82,0.7,flat
S02001184,86.5,1101,3,38,1.3,flat
S02001185,126,1470,3,97,0.7,flat
S02001186,90,900,4,57,0.7,flat
S02001187,103.5,662,3,52,1.25,flat
S02001188,110,797,3,53,0.7,flat
S02001189,115,515,3,53,1.6,flat
S02001190,123.75,265,4,78,1.5,flat
S02001191,93,855,3,65,2.6,flat
S02001192,95,637,3,175,0.65,flat
S02001193,143.45,347,4,50,2.45,flat
S02001194,130,329,4,78,1.7,flat
S02001195,112.5,827,3,86,1.4,flat
S02001196,122.498,743,3,62,2.1,flat
S02001197,77,641,3,69,2,terrace
S02001198,86.25,547,3,58,1.4,flat
S02001199,128.5,655,4,59,1.2,flat
S02001200,95,787,3,72,1.4,flat
S02001201,125,547,4,51,2.4,semi
